"","id","experiment_id","channel_id","time","od_led","od_value","od_raw","od_repeats","intensity","flash","background","temperature","batchtime_h","od_corr"
"1",1,1,1,"2023-11-06 17:00:00",680,0,-0.000145299505675212,2,0,3009,20,27.7255668640137,0,NA
"2",2,1,2,"2023-11-06 17:00:00",680,0,0,2,0,3016,18,27.7364711761475,0,NA
"3",3,1,3,"2023-11-06 17:00:00",680,0,-0.0101820575073361,2,0,3081,17,27.7473754882812,0,NA
"4",4,1,4,"2023-11-06 17:00:00",680,0,-0.00114967778790742,2,0,3041,15,27.7582817077637,0,NA
"5",5,1,5,"2023-11-06 17:00:00",680,0.235557436943054,0.235557436943054,2,0,1750,10,27.7691860198975,0,0.214986535467901
"6",6,1,6,"2023-11-06 17:00:00",680,0.22280852496624,0.22280852496624,2,0,1818,10,27.7800903320312,0,0.203326777299186
"7",7,1,7,"2023-11-06 17:00:00",680,0.435951858758926,0.435951858758926,2,0,1108,6,27.7909965515137,0,0.407192337822762
"8",8,1,8,"2023-11-06 17:00:00",680,0.23371034860611,0.23371034860611,2,0,1751,3,27.8019008636475,0,0.213294045304322
"9",9,1,1,"2023-11-06 17:00:00",720,0,-0.000576925405766815,2,0,3033,20,27.7255668640137,0,NA
"10",10,1,2,"2023-11-06 17:00:00",720,0,0,2,0,3010,20,27.7364711761475,0,NA
"11",11,1,3,"2023-11-06 17:00:00",720,0,-0.00722155394032598,2,0,3050,18,27.7473754882812,0,NA
"12",12,1,4,"2023-11-06 17:00:00",720,0,-0.00101080886088312,2,0,3026,15,27.7582817077637,0,NA
"13",13,1,5,"2023-11-06 17:00:00",720,0.145317047834396,0.145317047834396,2,0,2155,11,27.7691860198975,0,0.150408472513295
"14",14,1,6,"2023-11-06 17:00:00",720,0.136396020650864,0.136396020650864,2,0,2185,6,27.7800903320312,0,0.141118043977869
"15",15,1,7,"2023-11-06 17:00:00",720,0.320256233215332,0.320256233215332,2,0,1439,3,27.7909965515137,0,0.346439310894833
"16",16,1,8,"2023-11-06 17:00:00",720,0.144966810941696,0.144966810941696,2,0,2143,3,27.8019008636475,0,0.150042847894258
"17",17,1,1,"2023-11-06 17:15:00",680,0,-0.000145299505675212,2,0,3011,22,31.6099758148193,0.25,NA
"18",18,1,2,"2023-11-06 17:15:00",680,0,0,2,0,3020,22,31.6165180206299,0.25,NA
"19",19,1,3,"2023-11-06 17:15:00",680,0,-0.0123029788956046,2,0,3101,22,31.6230621337891,0.25,NA
"20",20,1,4,"2023-11-06 17:15:00",680,0,-0.00100616016425192,2,0,3048,23,31.6317863464355,0.25,NA
"21",21,1,5,"2023-11-06 17:15:00",680,0.231582209467888,0.231582209467888,2,0,1771,15,31.6383304595947,0.25,0.211345396763989
"22",22,1,6,"2023-11-06 17:15:00",680,0.219220265746117,0.219220265746117,2,0,1839,16,31.6470508575439,0.25,0.200054100277672
"23",23,1,7,"2023-11-06 17:15:00",680,0.4371357858181,0.4371357858181,2,0,1114,15,31.6535949707031,0.25,0.408387931777739
"24",24,1,8,"2023-11-06 17:15:00",680,0.234207540750504,0.234207540750504,2,0,1762,16,31.6601371765137,0.25,0.213749514136968
"25",25,1,1,"2023-11-06 17:15:00",720,0.000288750394247472,0.000288750394247472,2,0,3029,22,31.6099758148193,0.25,1.41817155206185e-07
"26",26,1,2,"2023-11-06 17:15:00",720,0.000872378470376134,0.000872378470376134,2,0,3006,22,31.6165180206299,0.25,0.000164146338522416
"27",27,1,3,"2023-11-06 17:15:00",720,0,-0.00893700681626797,2,0,3066,22,31.6230621337891,0.25,NA
"28",28,1,4,"2023-11-06 17:15:00",720,0,-0.000433477107435465,2,0,3029,22,31.6317863464355,0.25,NA
"29",29,1,5,"2023-11-06 17:15:00",720,0.146534115076065,0.146534115076065,2,0,2154,16,31.6383304595947,0.25,0.151679594805036
"30",30,1,6,"2023-11-06 17:15:00",720,0.132230564951897,0.132230564951897,2,0,2216,16,31.6470508575439,0.25,0.136795411953578
"31",31,1,7,"2023-11-06 17:15:00",720,0.333147913217545,0.333147913217545,2,0,1409,15,31.6535949707031,0.25,0.362218700322284
"32",32,1,8,"2023-11-06 17:15:00",720,0.142740190029144,0.142740190029144,2,0,2167,16,31.6601371765137,0.25,0.147720130813495
"33",33,1,1,"2023-11-06 17:30:00",680,0.00394217669963837,0.00394217669963837,2,0,2984,23,35.0450897216797,0.5,0.00259199851769502
"34",34,1,2,"2023-11-06 17:30:00",680,0.00145102594979107,0.00145102594979107,2,0,3010,22,35.0538139343262,0.5,0.000490745003088179
"35",35,1,3,"2023-11-06 17:30:00",680,0,-0.000869725423399359,2,0,3022,23,35.0603561401367,0.5,NA
"36",36,1,4,"2023-11-06 17:30:00",680,0.00230855238623917,0.00230855238623917,2,0,3025,23,35.0647201538086,0.5,0.0011408412026169
"37",37,1,5,"2023-11-06 17:30:00",680,0.231087848544121,0.231087848544121,2,0,1774,16,35.0712623596191,0.5,0.210892938940305
"38",38,1,6,"2023-11-06 17:30:00",680,0.213540017604828,0.213540017604828,2,0,1863,16,35.0778045654297,0.5,0.194881130374229
"39",39,1,7,"2023-11-06 17:30:00",680,0.494507163763046,0.494507163763046,2,0,978,15,35.0778045654297,0.5,0.46730982868687
"40",40,1,8,"2023-11-06 17:30:00",680,0.236451983451843,0.236451983451843,2,0,1753,16,35.0843505859375,0.5,0.215806610614546
"41",41,1,1,"2023-11-06 17:30:00",720,0.00449749361723661,0.00449749361723661,2,0,3000,22,35.0450897216797,0.5,0.00354603914941259
"42",42,1,2,"2023-11-06 17:30:00",720,0.00233023054897785,0.00233023054897785,2,0,2997,23,35.0538139343262,0.5,0.00131662587248445
"43",43,1,3,"2023-11-06 17:30:00",720,0,0,2,0,3005,23,35.0603561401367,0.5,NA
"44",44,1,4,"2023-11-06 17:30:00",720,0.00246469816192985,0.00246469816192985,2,0,3010,23,35.0647201538086,0.5,0.00144496118624844
"45",45,1,5,"2023-11-06 17:30:00",720,0.148774325847626,0.148774325847626,2,0,2143,16,35.0712623596191,0.5,0.154021699896074
"46",46,1,6,"2023-11-06 17:30:00",720,0.134407475590706,0.134407475590706,2,0,2205,16,35.0778045654297,0.5,0.139053302868827
"47",47,1,7,"2023-11-06 17:30:00",720,0.381196111440659,0.381196111440659,2,0,1263,15,35.0843505859375,0.5,0.423003321789176
"48",48,1,8,"2023-11-06 17:30:00",720,0.147204950451851,0.147204950451851,2,0,2145,16,35.093074798584,0.5,0.15238061475352
"49",49,1,1,"2023-11-06 17:45:00",680,0.00408887676894665,0.00408887676894665,2,0,2982,22,38.1028861999512,0.75,0.00272936499156205
"50",50,1,2,"2023-11-06 17:45:00",680,0.00145102594979107,0.00145102594979107,2,0,3011,23,38.1094284057617,0.75,0.000490745003088179
"51",51,1,3,"2023-11-06 17:45:00",680,0,-0.00705247325822711,2,0,3065,23,38.1137924194336,0.75,NA
"52",52,1,4,"2023-11-06 17:45:00",680,0.00187476782593876,0.00187476782593876,2,0,3028,23,38.1181526184082,0.75,0.000796307254694104
"53",53,1,5,"2023-11-06 17:45:00",680,0.239569425582886,0.239569425582886,2,0,1740,16,38.1246948242188,0.75,0.218666590751035
"54",54,1,6,"2023-11-06 17:45:00",680,0.21969698369503,0.21969698369503,2,0,1837,16,38.1290588378906,0.75,0.200488671101752
"55",55,1,7,"2023-11-06 17:45:00",680,0.494507163763046,0.494507163763046,2,0,979,16,38.1356010437012,0.75,0.46730982868687
"56",56,1,8,"2023-11-06 17:45:00",680,0.229261070489883,0.229261070489883,2,0,1782,16,38.1421432495117,0.75,0.209221676426144
"57",57,1,1,"2023-11-06 17:45:00",720,0.00435167551040649,0.00435167551040649,2,0,3001,22,38.1028861999512,0.75,0.00338913069838043
