"","id","experiment_id","channel_id","time","od_led","od_value","od_raw","od_repeats","intensity","flash","background","temperature","batchtime_h","od_corr","dilution"
"1",1,1,1,"2023-12-04 17:45:00",680,0.21087147295475,0.21087147295475,2,0,1847,4,22.151195526123,0,0.192454066595248,NA
"2",2,1,2,"2023-12-04 17:45:00",680,0.174651294946671,0.174651294946671,2,0,2017,3,22.151195526123,0,0.159686014727017,NA
"3",3,1,3,"2023-12-04 17:45:00",680,0.222859233617783,0.222859233617783,2,0,1807,4,22.151195526123,0,0.203373053831053,NA
"4",4,1,4,"2023-12-04 17:45:00",680,0.179817244410515,0.179817244410515,2,0,1977,4,22.151195526123,0,0.164342140098997,NA
"5",5,1,5,"2023-12-04 17:45:00",680,0.269362509250641,0.269362509250641,2,0,1618,4,22.151195526123,0,0.246170934348788,NA
"6",6,1,6,"2023-12-04 17:45:00",680,0.180670887231827,0.180670887231827,2,0,1984,3,22.151195526123,0,0.165112021802318,NA
"7",7,1,7,"2023-12-04 17:45:00",680,0.255330592393875,0.255330592393875,2,0,1665,3,22.151195526123,0,0.233177020896985,NA
"8",8,1,8,"2023-12-04 17:45:00",680,0.186460986733437,0.186460986733437,2,0,1949,4,22.1530132293701,0,0.170337843859222,NA
"9",9,1,1,"2023-12-04 17:45:00",720,0.166157990694046,0.166157990694046,2,0,2053,4,22.151195526123,0,0.172308527744341,0
"10",10,1,2,"2023-12-04 17:45:00",720,0.157282784581184,0.157282784581184,2,0,2096,4,22.151195526123,0,0.162946550608303,0
"11",11,1,3,"2023-12-04 17:45:00",720,0.184008195996284,0.184008195996284,2,0,1979,4,22.151195526123,0,0.191314380901206,0
"12",12,1,4,"2023-12-04 17:45:00",720,0.167186349630356,0.167186349630356,2,0,2057,4,22.151195526123,0,0.173396917113194,0
"13",13,1,5,"2023-12-04 17:45:00",720,0.162212118506432,0.162212118506432,2,0,2060,4,22.151195526123,0,0.168139392967313,0
"14",14,1,6,"2023-12-04 17:45:00",720,0.128087759017944,0.128087759017944,2,0,2236,3,22.151195526123,0,0.132505259883467,0
"15",15,1,7,"2023-12-04 17:45:00",720,0.147113546729088,0.147113546729088,2,0,2141,3,22.1530132293701,0,0.152285081869477,0
"16",16,1,8,"2023-12-04 17:45:00",720,0.121515855193138,0.121515855193138,2,0,2265,4,22.1548328399658,0,0.125716663758951,NA
"17",17,1,1,"2023-12-04 18:00:00",680,0.217041909694672,0.217041909694672,2,0,1821,4,27.116662979126,0.25,0.198069182675213,NA
"18",18,1,2,"2023-12-04 18:00:00",680,0.181169077754021,0.181169077754021,2,0,1988,4,27.1221141815186,0.25,0.165561394644416,NA
"19",19,1,3,"2023-12-04 18:00:00",680,0.228923201560974,0.228923201560974,2,0,1782,4,27.1293849945068,0.25,0.208912686229857,NA
"20",20,1,4,"2023-12-04 18:00:00",680,0.183797568082809,0.183797568082809,2,0,1959,4,27.1366539001465,0.25,0.167933138291142,NA
