"","id","experiment_id","channel_id","time","od_led","od_value","od_raw","od_repeats","intensity","flash","background","temperature","batchtime_h","od_corr"
"1",1,1,1,"2023-05-05 15:00:00",680,0.108337059617043,0.108337059617043,2,0,2353,20,24.6001586914062,0,0.100139255045062
"2",2,1,2,"2023-05-05 15:00:00",680,0.120238415896893,0.120238415896893,2,0,2296,20,24.6023368835449,0,0.110826209235166
"3",3,1,3,"2023-05-05 15:00:00",680,0.0841765329241753,0.0841765329241753,2,0,2498,20,24.6045169830322,0,0.0783542955785781
"4",4,1,4,"2023-05-05 15:00:00",680,0.110435456037521,0.110435456037521,2,0,2333,19,24.6045169830322,0,0.102024871637352
"5",5,1,5,"2023-05-05 15:00:00",680,0.114305526018143,0.114305526018143,2,0,2325,20,24.6088771820068,0,0.105500836962672
"6",6,1,6,"2023-05-05 15:00:00",680,0.108194828033447,0.108194828033447,2,0,2359,19,24.6110591888428,0,0.100011420222018
"7",7,1,7,"2023-05-05 15:00:00",680,0.11839709430933,0.11839709430933,2,0,2312,21,24.6132411956787,0,0.109173797191821
"8",8,1,8,"2023-05-05 15:00:00",680,0.122496880590916,0.122496880590916,2,0,2294,20,24.6132411956787,0,0.112852610513384
"9",9,1,1,"2023-05-05 15:00:00",720,0.0545599050819874,0.0545599050819874,2,0,2672,20,24.6001586914062,0,0.0570613892636192
"10",10,1,2,"2023-05-05 15:00:00",720,0.0548403300344944,0.0548403300344944,2,0,2665,20,24.6023368835449,0,0.0573505947450505
"11",11,1,3,"2023-05-05 15:00:00",720,0.0335969887673855,0.0335969887673855,2,0,2804,19,24.6045169830322,0,0.0352198878962506
"12",12,1,4,"2023-05-05 15:00:00",720,0.0500020869076252,0.0500020869076252,2,0,2707,19,24.6045169830322,0,0.0523524831162898
"13",13,1,5,"2023-05-05 15:00:00",720,0.0711242333054543,0.0711242333054543,2,0,2577,20,24.6088771820068,0,0.0740726302733064
"14",14,1,6,"2023-05-05 15:00:00",720,0.0569746792316437,0.0569746792316437,2,0,2637,19,24.6110591888428,0,0.0595500302776431
"15",15,1,7,"2023-05-05 15:00:00",720,0.0714026391506195,0.0714026391506195,2,0,2556,21,24.6132411956787,0,0.0743576591674641
"16",16,1,8,"2023-05-05 15:00:00",720,0.0639662444591522,0.0639662444591522,2,0,2610,20,24.6176052093506,0,0.066736439270669
"17",17,1,1,"2023-05-05 15:15:00",680,0.109082289040089,0.109082289040089,2,0,2349,20,27.1519527435303,0.25,0.100808997410842
"18",18,1,2,"2023-05-05 15:15:00",680,0.121767647564411,0.121767647564411,2,0,2287,19,27.1563167572021,0.25,0.112198347021927
"19",19,1,3,"2023-05-05 15:15:00",680,0.0859326645731926,0.0859326645731926,2,0,2488,20,27.160680770874,0.25,0.0799440012358128
"20",20,1,4,"2023-05-05 15:15:00",680,0.111563019454479,0.111563019454479,2,0,2327,19,27.1650447845459,0.25,0.103037822027837
"21",21,1,5,"2023-05-05 15:15:00",680,0.114871144294739,0.114871144294739,2,0,2322,20,27.1672267913818,0.25,0.106008695200005
"22",22,1,6,"2023-05-05 15:15:00",680,0.110241182148457,0.110241182148457,2,0,2349,20,27.1715869903564,0.25,0.101850326143064
"23",23,1,7,"2023-05-05 15:15:00",680,0.119916267693043,0.119916267693043,2,0,2303,20,27.1737670898438,0.25,0.110537131976512
"24",24,1,8,"2023-05-05 15:15:00",680,0.123070172965527,0.123070172965527,2,0,2291,20,27.1759452819824,0.25,0.11336694128162
"25",25,1,1,"2023-05-05 15:15:00",720,0.0553794838488102,0.0553794838488102,2,0,2667,20,27.1563167572021,0.25,0.0579064767828035
